Time,Channel A
(s),(V)

145.53363369,0.01129185
145.56696709,0.00732444
145.60030049,0.00747704
145.63363389,0.01144444
145.66696730,0.00671407
145.70030070,0.00732444
145.73363410,0.01022370
145.76696750,0.00640889
145.80030090,0.00701926
145.83363431,0.00900296
145.86696771,0.00412000
145.90030111,0.00686667
145.93363451,0.00915555
145.96696791,0.00366222
146.00030132,0.00579852
146.03363472,0.00976592
146.06696812,0.00457778
146.10030152,0.00442518
146.13363492,0.00701926
146.16696833,0.00244148
146.20030173,0.00518815
146.23363513,0.00747704
146.26696853,0.00183111
146.30030194,0.00259407
146.33363534,0.00610370
146.36696874,0.00061037
146.40030214,0.00198370
146.43363554,0.00427259
146.46696895,-0.00076296
146.50030235,0.00244148
146.53363575,0.00396741
146.56696915,-0.00030519
146.60030255,0.00167852
146.63363596,0.00412000
146.66696936,-0.00183111
146.70030276,0.00030519
146.73363616,0.00305185
146.76696957,-0.00106815
146.80030297,0.00045778
146.83363637,0.00198370
146.86696977,-0.00228889
146.90030317,-0.00076296
146.93363658,0.00183111
146.96696998,-0.00396741
147.00030338,-0.00091556
147.03363678,0.00076296
147.06697018,-0.00518815
147.10030359,-0.00274667
147.13363699,0.00122074
147.16697039,-0.00518815
147.20030379,-0.00289926
147.23363720,0.00061037
147.26697060,-0.00503555
147.30030400,-0.00228889
147.33363740,-0.00030519
147.36697080,-0.00534074
147.40030421,-0.00427259
147.43363761,-0.00167852
147.46697101,-0.00808741
147.50030441,-0.00473037
147.53363781,-0.00183111
147.56697122,-0.00762963
147.60030462,-0.00503555
147.63363802,-0.00228889
147.66697142,-0.00793481
147.70030482,-0.00564592
147.73363823,-0.00396741
147.76697163,-0.00793481
147.80030503,-0.00579852
147.83363843,-0.00350963
147.86697184,-0.00869778
147.90030524,-0.00640889
147.93363864,-0.00427259
147.96697204,-0.00991852
148.00030544,-0.00625629
148.03363885,-0.00518815
148.06697225,-0.01052889
148.10030565,-0.00625629
148.13363905,-0.00518815
148.16697245,-0.00946074
148.20030586,-0.00671407
148.23363926,-0.00442518
148.26697266,-0.01037629
148.30030606,-0.00656148
148.33363947,-0.00579852
148.36697287,-0.01052889
148.40030627,-0.00686667
148.43363967,-0.00595111
148.46697307,-0.01052889
148.50030648,-0.00686667
148.53363988,-0.00640889
148.56697328,-0.01022370
148.60030668,-0.00762963
148.63364008,-0.00579852
148.66697349,-0.01083407
148.70030689,-0.00778222
148.73364029,-0.00640889
148.76697369,-0.01037629
148.80030710,-0.00717185
148.83364050,-0.00701926
148.86697390,-0.01129185
148.90030730,-0.00671407
148.93364070,-0.00701926
148.96697411,-0.00991852
149.00030751,-0.00595111
149.03364091,-0.00671407
149.06697431,-0.01037629
149.10030771,-0.00656148
149.13364112,-0.00579852
149.16697452,-0.00915555
